SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
204297262,DL8,54.2928606,-1.7868123,2
204297803,LA14,54.1182959,-3.2311912,2
204300378,CH45,53.4289247,-3.0517282,2
204305145,DE7,52.9734328,-1.3232261,2
204306708,IV24,57.8912204,-4.3559987,2
988843927,HP4,51.7678331,-0.5685998,2
988845884,PH1,56.4224093,-3.4793955,2
988856961,KW1,58.4566982,-3.1224058,2
988865250,BN44,50.8910892,-0.322266,2
988865478,EH14,55.9088677,-3.2859923,2
9661000926,CO8,51.9733754,0.7656644,2
9661009412,CV8,52.3519562,-1.5420194,2
9661014461,NW10,51.5412842,-0.2480596,2
9661027213,SE4,51.4610268,-0.0352253,2
9661038528,CT14,51.2167502,1.3854115,2
9661047139,BN11,50.8135706,-0.3771568,2
9661061341,TQ2,50.4764111,-3.546236,2
9661067577,BS5,51.4620533,-2.5517422,2
9661068849,G81,55.9138295,-4.4077065,2
9661070920,KW16,58.9608956,-3.2768723,2
9661095339,DD11,56.5735539,-2.5990122,2
9661100241,EH52,55.9383479,-3.485057,2
9661103081,YO11,54.2639772,-0.3963875,2
9661103972,SG8,52.0643705,-0.0147945,1
9661109271,NG3,52.9695328,-1.1273629,2
9661118885,EH10,55.9198652,-3.2111151,2
9661122952,KW14,58.588615,-3.5547823,2
9661123986,SY10,52.8394661,-3.1235551,2
9661137091,S3,53.3874982,-1.4740209,2
9661160345,NR29,52.6942516,1.6362126,1
9661162207,IP11,51.9675191,1.3411933,2
9661165466,BS1,51.4532627,-2.5935387,2
9661165754,IP22,52.3759592,1.0527441,1
9661166551,BH10,50.7595614,-1.8929555,2
9661166983,GL6,51.7343681,-2.1938197,2
9661169648,NR34,52.4387601,1.5835599,1
9661182214,BH17,50.746875,-1.9800404,2
9661185288,N13,51.618112,-0.1042702,2
9661187152,GL53,51.8795927,-2.0676025,2
9661197745,DD8,56.6558721,-2.9220215,2
122000879,BT41,54.7322694,-6.2572788,2
122001128,BT13,54.6058982,-5.9596444,2
122001459,BT93,54.4678402,-7.8268864,2
122001515,BT34,54.1531164,-6.1774814,2
122003714,G51,55.8577477,-4.3165267,2
122006312,EH54,55.8923064,-3.5243492,2
122006974,LE2,52.6073868,-1.1169519,2
122008812,LS29,53.9189109,-1.800672,2
122012411,DE45,53.2147846,-1.6782889,2
122015536,BT44,54.9722864,-6.287524,1
122019169,SE6,51.438559,-0.0166543,2
122019694,BT29,54.6209431,-6.196934,2
122021131,HG3,54.0300146,-1.6178422,2
150108370,IV24,57.8912204,-4.3559987,1
150109535,HG5,54.013486,-1.4579043,2
150110240,TN23,51.1399102,0.8570045,2
150110403,LL32,53.2580548,-3.8411359,2
150113110,B90,52.3989824,-1.8260954,2
150114035,CM13,51.6152603,0.3385145,2
150114415,LE67,52.7156016,-1.362308,2
150114641,DH2,54.8597025,-1.5995581,2
150114774,DN3,53.546061,-1.059325,2
150115661,HD5,53.6474167,-1.7462168,2
150115888,HU8,53.7694364,-0.2996667,1
150116245,LA23,54.3713964,-2.9129454,2
150118033,PO13,50.8122549,-1.1810192,2
150119368,ST18,52.8150827,-2.0806107,2
150119740,TN19,51.0027867,0.4058702,2
150120674,WS3,52.6197704,-1.9920867,2
150120872,BT70,54.5139825,-6.8875077,2
150121784,OL16,53.6123706,-2.1313519,2
150122890,YO23,53.9234845,-1.1234069,2
150123044,OX14,51.667524,-1.2770907,2
150123778,TN6,51.0522368,0.1754135,2
150124449,TW1,51.4510989,-0.3257026,2
150125656,SY23,52.3800111,-4.051249,1
150126911,BN27,50.8718389,0.2634568,2
150127299,CF11,51.4724155,-3.1922157,2
150127958,E1,51.5173859,-0.0595023,2
150128869,RG22,51.2481133,-1.1247687,2
150129676,B11,52.4544936,-1.8581324,2
150131416,EC1V,51.5268168,-0.0978016,2
150132616,LL18,53.3102991,-3.4760171,2
150132730,SW19,51.4241552,-0.2029208,2
150134432,PE6,52.6575152,-0.2526423,2
150134631,OX7,51.9104488,-1.5287932,2
150134883,SW4,51.4611107,-0.1364914,2
150135205,TW13,51.4389898,-0.4020137,2
150135869,B29,52.4376384,-1.947722,2
150135881,DN40,53.6210283,-0.2267379,2
150136102,CB8,52.2302078,0.4279081,1
150136741,DY9,52.4332065,-2.122508,2
150137409,GL7,51.7113826,-1.8967753,1
150138777,OX1,51.7451905,-1.2614253,1
150144346,N16,51.5625965,-0.0766528,2
150145300,E10,51.5679608,-0.0143353,2
150147735,OL16,53.6123706,-2.1313519,2
150150549,ME17,51.2331334,0.6111241,2
150151619,L39,53.5617461,-2.8964099,2
150153117,TS18,54.5609693,-1.3240632,2
150153207,W6,51.4926401,-0.2287797,2
150153642,N17,51.5980699,-0.0717424,2
150157020,SW1H,51.4987321,-0.1337132,1
150158382,TW18,51.4276663,-0.5044353,1
150158615,LL32,53.2580548,-3.8411359,1
150159050,KY16,56.3425731,-2.8225656,2
