SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
150161420,YO42,53.9238079,-0.7902264,3
150161455,WF12,53.6833333,-1.6199223,3
150161801,ST2,53.028141,-2.1354237,4
150162697,BS4,51.435356,-2.5636106,4
150163332,MK40,52.1378368,-0.4764099,4
150163646,EX17,50.8116834,-3.7053311,3
150164142,AB10,57.1353138,-2.1202461,4
150164255,E8,51.5436904,-0.0661452,3
150164358,CW2,53.0798218,-2.4465966,3
150164879,EX15,50.8776038,-3.3405027,4
150167168,TA6,51.1256664,-3.0008114,4
150167377,CM23,51.872518,0.1583719,4
150167445,PL14,50.4639492,-4.466271,3
150168209,LA4,54.0702298,-2.8525004,4
150168684,RG26,51.3401022,-1.1297305,3
150168930,PO32,50.7511908,-1.2810514,3
150169698,CF36,51.4850992,-3.6994938,4
150170147,G62,55.9426842,-4.3208961,4
150170429,SW9,51.4693401,-0.1138947,4
150170659,CV7,52.446762,-1.569683,4
150170862,PO11,50.7920495,-0.9756968,4
150171292,ZE1,60.1514981,-1.1705115,4
150171306,WR11,52.0958405,-1.9290168,3
150171537,SN16,51.5920459,-2.084858,4
150171554,CO9,51.9689789,0.6094407,4
150172082,CV21,52.3768752,-1.25063,4
150172629,WC1E,51.5217107,-0.1328422,3
150172921,SK1,53.4075932,-2.1515586,5
150173526,CF35,51.5227048,-3.5254789,3
150174408,M4,53.4848676,-2.2300315,3
150174707,BH12,50.7374063,-1.9273505,4
150175037,EX31,51.0857144,-4.068489,4
150175332,B66,52.4926661,-1.9647632,4
150175903,B11,52.4544936,-1.8581324,3
150176007,PO22,50.8001082,-0.6476773,4
150176213,SW8,51.4765695,-0.1320148,4
150176467,ME3,51.4354568,0.5468331,3
150176574,HP3,51.7359452,-0.4707053,5
150177181,SE13,51.4594042,-0.0095672,4
150177551,TR16,50.2326748,-5.2212503,5
150177739,N1,51.5377218,-0.0970473,4
150178021,W1J,51.5079068,-0.1450205,3
150178512,DE1,52.9221535,-1.4774894,4
150178830,PR1,53.7573394,-2.7017204,4
150178835,LA23,54.3713964,-2.9129454,4
150179081,NN4,52.2144778,-0.8994462,4
150179474,DG1,55.0735752,-3.5817215,3
